author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/286681278/;Москва;sale;flat;15;33;1;41.6;292067;12150000;Отрадное;;Владыкино;Сигнальный 16 ЖК
Центр недвижимости от Сбербанка;real_estate_agent;https://www.cian.ru/sale/flat/286333817/;Москва;sale;flat;4;23;1;36.2;337016;12200000;Крылатское;Рублевское шоссе;Крылатское;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283293755/;Москва;sale;flat;3;9;1;32.5;375384;12200000;Савеловский;Мишина;Петровский Парк;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/286999313/;Москва;sale;flat;3;14;1;40.0;307500;12300000;Москворечье-Сабурово;Кантемировская;Царицыно;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/285709041/;Москва;sale;flat;2;9;1;33.0;383333;12650000;Таганский;Стройковская;Пролетарская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/285792805/;Москва;sale;flat;8;12;1;30.0;440000;13200000;Тверской;2-я Брестская;Маяковская;Резиденция Тверская
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284092364/;Москва;sale;flat;5;8;1;38.65;349262;13499000;Измайлово;Измайловский проезд;Измайловская;Измайловский 11
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/286276834/;Москва;sale;flat;3;39;1;39.8;366834;14600000;Ростокино;Вильгельма Пика;Ботанический сад;Режиссер
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280752202/;Москва;sale;flat;2;17;1;43.8;339954;14890000;Фили-Давыдково;Кастанаевская;Пионерская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/287084764/;Москва;sale;flat;10;26;1;39.9;363408;14500000;Западное Дегунино;Дмитровское шоссе;Верхние Лихоборы;Тринити
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/286608331/;Москва;sale;flat;21;29;1;43.5;310344;13500000;Нижегородский;Рязанский проспект;Нижегородская;SREDA
